"","Film.ID","Title","Year","Academy.Nominations","Academy.Awards","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","Response","Error","Country1","Genre1"
"1194","Gigot (1962)","Gigot",1962,1,1,"N/A","01 Nov 1962",104,"Comedy","Gene Kelly","Jackie Gleason (original story), John Patrick (screenplay)","Jackie Gleason, Katherine Kath, Gabrielle Dorziat, Jean Lefebvre","Jackie Gleason plays a mute janitor who befriends Nicole, the little daughter of a prostitute.","English","USA","Nominated for 1 Oscar. Another 1 nomination.","N/A",NA,7.3,"900","tt0056017","movie","True",NA,"USA","Comedy"
"1195","Girl with a Pearl Earring (2003)","Girl with a Pearl Earring",2003,3,3,"PG-13","30 Jan 2004",100,"Biography, Drama, Romance","Peter Webber","Tracy Chevalier (novel), Olivia Hetreed (screenplay)","Colin Firth, Scarlett Johansson, Tom Wilkinson, Judy Parfitt","A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.","English","UK, Luxembourg","Nominated for 3 Oscars. Another 16 wins & 39 nominations.","http://ia.media-imdb.com/images/M/MV5BMTU4NjU3NjA0N15BMl5BanBnXkFtZTcwNjI4MTQyMQ@@._V1_SX300.jpg",72,7,"57,222","tt0335119","movie","True",NA,"UK","Biography"
"1196","Girl, Interrupted (1999)","Girl, Interrupted",1999,1,1,"R","14 Jan 2000",127,"Biography, Drama","James Mangold","Susanna Kaysen (book), James Mangold (screenplay), Lisa Loomer (screenplay), Anna Hamilton Phelan (screenplay)","Winona Ryder, Angelina Jolie, Clea DuVall, Brittany Murphy","Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the 1960s.","English","USA, Germany","Won 1 Oscar. Another 6 wins & 10 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk2MjIwNzkwMl5BMl5BanBnXkFtZTYwOTYwMzg2._V1_SX300.jpg",51,7.3,"117,127","tt0172493","movie","True",NA,"USA","Biography"
"1197","Girls' School (1938)","Girls' School",1938,1,1,"APPROVED","30 Sep 1938",72,"Comedy","John Brahm","Tess Slesinger (screen play), Richard Sherman (screen play), Tess Slesinger (original story)","Anne Shirley, Nan Grey, Ralph Bellamy, Dorothy Moore","N/A","English","USA","N/A","N/A",NA,5.9,"135","tt0030184","movie","True",NA,"USA","Comedy"
"1198","Giuseppina (1960)","Giuseppina",1960,1,1,"N/A","N/A",32,"Short","James Hill","James Hill","Antonia Scalari, Giulio Marchetti","N/A","Italian","UK","N/A","N/A",NA,7.1,"46","tt0053866","movie","True",NA,"UK","Short"
"1199","Give 'em Hell, Harry! (1975)","Give 'em Hell, Harry!",1975,1,1,"PG","18 Sep 1975",104,"Biography, Comedy, Drama","Steve Binder, Peter H. Hunt","Samuel Gallu","James Whitmore","One man show about the presidency of Harry S Truman.","English","USA","Nominated for 1 Oscar. Another 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTczNDk2MTA4Nl5BMl5BanBnXkFtZTcwNzk1MjMyMQ@@._V1_SX300.jpg",NA,7.4,"333","tt0073053","movie","True",NA,"USA","Biography"
"1200","Give Me Liberty (1936)","Give Me Liberty",1936,1,1,"APPROVED","19 Dec 1936",22,"Short, Biography, Drama","B. Reeves Eason","Forrest Barnes (story)","John Litel, Nedda Harrigan, Carlyle Moore Jr., Robert Warwick","Patrick Henry's rousing speech before the Virginia legislature argues for colonial independence.","English","USA","N/A","N/A",NA,6.6,"95","tt0027678","movie","True",NA,"USA","Short"
"1201","Give Up Yer Aul Sins (2001)","Give Up Yer Aul Sins",2001,1,1,"N/A","01 Oct 2001",5,"Animation, Short, Comedy","Cathal Gaffney","N/A","Maria McDermottroe","A schoolgirl, interviewed for television, tells a somewhat unconventional version of the story of John the Baptist, which we see illustrated.","English","Ireland","Nominated for 1 Oscar. Another 4 wins.","N/A",NA,6.3,"337","tt0308317","movie","True",NA,"Ireland","Animation"
"1202","Give Us the Earth (1947)","Give Us the Earth",1947,1,1,"PASSED","21 Jun 1947",21,"Documentary, Short","Gunther von Fritsch","Herbert Morgan","Emily Hatch, Spencer Hatch","This ""Theater of Life"" documentary was produced in cooperation with the International Committee, YMCA. It focuses on the work of Dr. Spencer Hatch, as he shows residents of small Mexican ...","English","USA","N/A","N/A",NA,6,"57","tt0039425","movie","True",NA,"USA","Documentary"
"1203","Gladiator (2000)","Gladiator",2000,12,12,"R","05 May 2000",155,"Action, Drama","Ridley Scott","David Franzoni (story), David Franzoni (screenplay), John Logan (screenplay), William Nicholson (screenplay)","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.","English","USA, UK","Won 5 Oscars. Another 52 wins & 100 nominations.","http://ia.media-imdb.com/images/M/MV5BMTgwMzQzNTQ1Ml5BMl5BanBnXkFtZTgwMDY2NTYxMTE@._V1_SX300.jpg",64,8.5,"894,849","tt0172495","movie","True",NA,"USA","Action"
"1204","Glass (1959)","Glass",1959,1,1,"N/A","18 Dec 1959",100,"Musical, Romance","Arthur Maria Rabenalt","Laslo V. Kish (idea), Ernst Neubach, Adolf Schütz","Heidi Brühl, Georg Thomalla, Violetta Ferrari, Willy Millowitsch","Nineteen-fifties musical with a love triangle, set in Germany.","German","West Germany","N/A","N/A",NA,7.2,"12","tt0052996","movie","True",NA,"West Germany","Musical"
"1205","Glengarry Glen Ross (1992)","Glengarry Glen Ross",1992,1,1,"R","02 Oct 1992",100,"Drama","James Foley","David Mamet (play), David Mamet (screenplay)","Al Pacino, Jack Lemmon, Alec Baldwin, Alan Arkin","An examination of the machinations behind the scenes at a real estate office.","English","USA","Nominated for 1 Oscar. Another 5 wins & 6 nominations.","http://ia.media-imdb.com/images/M/MV5BMTM5MjYyNTQ5MF5BMl5BanBnXkFtZTgwMDM1MzcxMTE@._V1_SX300.jpg",80,7.8,"70,945","tt0104348","movie","True",NA,"USA","Drama"
"1206","Gloria (1980)","Gloria",1980,1,1,"PG","19 Sep 1980",123,"Crime, Drama, Thriller","John Cassavetes","John Cassavetes","Julie Carmen, Tony Knesich, Gregory Cleghorne, Buck Henry","When a young boy's family is killed by the mob, their tough neighbor Gloria becomes his reluctant guardian. In possession of a book that the gangsters want, the pair go on the run in New York.","English","USA","Nominated for 1 Oscar. Another 4 wins & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMjA2MTQyMTIzM15BMl5BanBnXkFtZTcwNDczODMyMQ@@._V1_SX300.jpg",NA,7.1,"5,706","tt0080798","movie","True",NA,"USA","Crime"
"1207","Glory (1989)","Glory",1989,5,5,"R","16 Feb 1990",122,"Drama, History, War","Edward Zwick","Kevin Jarre (screenplay), Lincoln Kirstein (book), Peter Burchard (book), Robert Gould Shaw (letters)","Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman","Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.","English","USA","Won 3 Oscars. Another 11 wins & 15 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExNTc2MzU1OV5BMl5BanBnXkFtZTgwNDQzMzcxMTE@._V1_SX300.jpg",NA,7.9,"98,072","tt0097441","movie","True",NA,"USA","Drama"
"1208","Go for Broke! (1951)","Go for Broke!",1951,1,1,"PASSED","22 Sep 1951",92,"Drama, History, War","Robert Pirosh","Robert Pirosh","Van Johnson, Lane Nakano, George Miki, Akira Fukunaga","The story of Japanese-American soldiers who fought in Europe during World War II.","English, Japanese, Italian, Hawaiian, German","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTc5OTAyMDYzM15BMl5BanBnXkFtZTcwMzIwNDcyMQ@@._V1_SX300.jpg",NA,6.8,"870","tt0043590","movie","True",NA,"USA","Drama"
"1209","God of Love (2010)","God of Love",2010,1,1,"N/A","12 Jun 2010",18,"Short, Comedy, Fantasy","Luke Matheny","Luke Matheny","Luke Matheny, Marian Brock, Christopher Hirsh, Emily Young","A lovestruck, lounge-singing darts champion finds his prayers are answered -- literally -- when he mysteriously receives a box of love-inducing darts.","N/A","USA","Won 1 Oscar. Another 5 wins.","http://ia.media-imdb.com/images/M/MV5BOTcyODM0MjM0OF5BMl5BanBnXkFtZTcwMzU0MDE0NA@@._V1_SX300.jpg",NA,7.7,"1,234","tt1631323","movie","True",NA,"USA","Short"
"1210","God Sleeps in Rwanda (2005)","God Sleeps in Rwanda",2005,1,1,"N/A","15 Aug 2005",28,"Documentary, Short","Kimberlee Acquaro, Stacy Sherman","Kimberlee Acquaro, Stacy Sherman","Rosario Dawson","A powerful documentary about five women whose lives have been irrevocably altered by the Rwandan genocide. With the country left nearly 70% female in the wake of the massacres, ""God Sleeps ...","English","USA","Nominated for 1 Oscar. Another 5 wins & 2 nominations.","N/A",NA,7.6,"86","tt0480247","movie","True",NA,"USA","Documentary"
"1211","Gods and Monsters (1998)","Gods and Monsters",1998,3,3,"R","04 Nov 1998",105,"Biography, Drama","Bill Condon","Christopher Bram (novel), Bill Condon (screenplay)","Ian McKellen, Brendan Fraser, Lynn Redgrave, Lolita Davidovich","The last days of Frankenstein (1931) director James Whale are explored.","English, Hungarian","USA, UK","Won 1 Oscar. Another 37 wins & 31 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk0Mjk4NDIzNl5BMl5BanBnXkFtZTcwNTk0NjcyMQ@@._V1_SX300.jpg",74,7.5,"24,216","tt0120684","movie","True",NA,"USA","Biography"
"1212","Gods of Metal (1982)","Gods of Metal",1982,1,1,"N/A","N/A",28,"Documentary, Short","N/A","N/A","N/A","Academy Award nominee for best documentary short, based on biblical premise, applicable to today's nuclear proliferation: ""Do not worship false Gods of Metal.""","English","USA, Canada","N/A","http://ia.media-imdb.com/images/M/MV5BMjEwMTc1NDI0M15BMl5BanBnXkFtZTgwMzM0ODk1MDE@._V1_SX300.jpg",NA,8.5,"8","tt0084009","movie","True",NA,"USA","Documentary"
